name,rank (wur),country,total students (wur),region,total faculty members (wur),international students (wur)
University of Oxford,1.0,United Kingdom,20409,Europe,3711,7755
University of Cambridge,2.0,United Kingdom,18389,Europe,16550,6436
California Institute of Technology,3.0,United States,2209,North America,1841,596
Stanford University,4.0,United States,15845,North America,11318,3486
Massachusetts Institute of Technology,5.0,United States,11177,North America,9780,3800
Harvard University,6.0,United States,20326,North America,22867,5285
Princeton University,7.0,United States,7955,North America,2983,1909
Imperial College London,8.0,United Kingdom,15857,Europe,5766,8721
University of Chicago,9.0,United States,13525,North America,4508,3381
ETH Zurich – Swiss Federal Institute of Technology Zurich,10.0,Switzerland,19233,Europe,8243,7309
University of Pennsylvania,11.0,United States,20361,North America,16968,4072
Yale University,12.0,United States,12155,North America,9116,2553
Johns Hopkins University,13.0,United States,15498,North America,11624,3720
Columbia University,14.0,United States,26587,North America,4431,8508
"University of California, Los Angeles",15.0,United States,39279,North America,26186,6677
University College London,16.0,United Kingdom,30304,Europe,15152,14849
Duke University,17.0,United States,15256,North America,19070,3356
"University of California, Berkeley",18.0,United States,36182,North America,2783,6151
Cornell University,19.0,United States,21850,North America,19422,5244
Northwestern University,20.0,United States,17466,North America,11644,3144
University of Michigan,21.0,United States,41818,North America,31364,6691
National University of Singapore,22.0,Singapore,30602,Asia,0,9181
University of Toronto,23.0,Canada,69427,North America,26999,11803
Carnegie Mellon University,24.0,United States,12676,North America,4875,5704
London School of Economics and Political Science,25.0,United Kingdom,10065,Europe,1678,7146
University of Washington,26.0,United States,44945,North America,16344,7191
University of Edinburgh,27.0,United Kingdom,26759,Europe,11150,10704
New York University,28.0,United States,43860,North America,29240,11404
Peking University,29.0,China,42136,Asia,47403,6742
Tsinghua University,30.0,China,42089,Asia,22663,3788
"University of California, San Diego",31.0,United States,29633,North America,19755,5038
University of Melbourne,32.0,Australia,42116,Oceania,9719,16846
Georgia Institute of Technology,33.0,United States,20773,North America,7271,5609
University of British Columbia,34.0,Canada,51889,North America,2883,15048
LMU Munich,35.0,Germany,36091,Europe,14436,5414
King’s College London,36.0,United Kingdom,23207,Europe,0,9515
University of Illinois at Urbana-Champaign,37.0,United States,43402,North America,15783,9982
École Polytechnique Fédérale de Lausanne,38.0,Switzerland,9928,Europe,1805,5460
Karolinska Institute,39.0,Sweden,7424,Europe,6682,1411
University of Hong Kong,40.0,Hong Kong,18364,Asia,0,7713
Technical University of Munich,41.0,Germany,38689,Europe,2866,8898
McGill University,42.0,Canada,30940,North America,7140,8044
University of Wisconsin-Madison,43.0,United States,38960,North America,27272,4675
Hong Kong University of Science and Technology,44.0,Hong Kong,10214,Asia,444,3166
Heidelberg University,45.0,Germany,28876,Europe,2511,4909
University of Tokyo,46.0,Japan,26000,Asia,30333,2600
KU Leuven,47.0,Belgium,44412,Europe,1200,6662
Australian National University,48.0,Australia,15986,Oceania,2524,5595
University of Texas at Austin,49.0,United States,48561,North America,2857,4856
Brown University,50.0,United States,8898,North America,6229,1780
Washington University in St Louis,51.0,United States,12600,North America,9000,2142
"Nanyang Technological University, Singapore",52.0,Singapore,25499,Asia,4781,7905
"University of California, Santa Barbara",53.0,United States,23054,North America,823,3228
"University of California, Davis",54.0,United States,37365,North America,22994,3736
University of Manchester,55.0,United Kingdom,35318,Europe,15136,13421
University of Minnesota,56.0,United States,60949,North America,14341,6704
University of North Carolina at Chapel Hill,57.0,United States,34684,North America,26976,2775
Chinese University of Hong Kong,58.0,Hong Kong,18072,Asia,3189,5602
University of Amsterdam,59.0,Netherlands,23495,Europe,5874,2819
Purdue University,60.0,United States,38770,North America,9122,8917
University of Sydney,61.0,Australia,44553,Oceania,12729,14257
Humboldt University of Berlin,62.0,Germany,32172,Europe,2872,5469
Delft University of Technology,63.0,Netherlands,17057,Europe,5386,4605
Wageningen University & Research,64.0,Netherlands,12326,Europe,4541,3575
University of Queensland,65.0,Australia,38968,Oceania,7794,10132
University of Southern California,66.0,United States,38380,North America,25587,8827
Leiden University,67.0,Netherlands,24825,Europe,2758,2979
Utrecht University,68.0,Netherlands,31522,Europe,4203,2207
"University of Maryland, College Park",69.0,United States,31772,North America,9929,3177
Boston University,70.0,United States,24833,North America,18625,6208
Ohio State University,71.0,United States,53190,North America,31028,6915
Erasmus University Rotterdam,72.0,Netherlands,22047,Europe,1102,4409
Paris Sciences et Lettres – PSL Research University Paris,73.0,France,19978,Europe,1998,4994
