name,rank (tur),country,region,total faculty members (tur),international faculty members (tur),total students (tur),international students (tur)
Massachusetts Institute of Technology (MIT),1.0,United States,North America,2982.0,1679.0,11067.0,3717.0
Stanford University,2.0,United States,North America,4285.0,2042.0,15878.0,3611.0
Harvard University,3.0,United States,North America,4350.0,1311.0,22429.0,5266.0
California Institute of Technology (Caltech),4.0,United States,North America,953.0,350.0,2255.0,647.0
University of Cambridge,5.0,United Kingdom,Europe,5490.0,2278.0,18770.0,6699.0
University of Oxford,6.0,United Kingdom,Europe,6750.0,2964.0,19720.0,7353.0
UCL (University College London),7.0,United Kingdom,Europe,6345.0,2554.0,31080.0,14854.0
Imperial College London,8.0,United Kingdom,Europe,3930.0,2071.0,16090.0,8746.0
University of Chicago,9.0,United States,North America,2449.0,635.0,13557.0,3379.0
ETH Zurich - Swiss Federal Institute of Technology,10.0,Switzerland,Europe,2477.0,1886.0,19815.0,7563.0
"Nanyang Technological University, Singapore (NTU)",11.0,Singapore,Asia,4338.0,2993.0,25738.0,7251.0
Ecole Polytechnique Fédérale de Lausanne (EPFL),12.0,Switzerland,Europe,1695.0,1300.0,10343.0,5896.0
Princeton University,13.0,United States,North America,1007.0,246.0,8069.0,1793.0
Cornell University,14.0,United States,North America,2718.0,970.0,21904.0,5411.0
National University of Singapore (NUS),15.0,Singapore,Asia,5106.0,3086.0,32728.0,8917.0
Yale University,16.0,United States,North America,4940.0,1708.0,12402.0,2469.0
Johns Hopkins University,17.0,United States,North America,4462.0,1061.0,16146.0,4105.0
Columbia University,18.0,United States,North America,6189.0,913.0,25045.0,8105.0
University of Pennsylvania,19.0,United States,North America,5499.0,1383.0,20639.0,4250.0
The Australian National University,20.0,Australia,Oceania,1600.0,927.0,14442.0,5551.0
University of Michigan,21.0,United States,North America,6809.0,1920.0,43147.0,7527.0
Duke University,22.0,United States,North America,2938.0,226.0,15320.0,2864.0
The University of Edinburgh,23.0,United Kingdom,Europe,4075.0,1553.0,28040.0,10551.0
King's College London,24.0,United Kingdom,Europe,3650.0,1513.0,23780.0,9451.0
Tsinghua University,25.0,China,Asia,5506.0,932.0,36300.0,4072.0
The University of Hong Kong,26.0,Hong Kong,Asia,3012.0,2085.0,20214.0,8230.0
"University of California, Berkeley (UCB)",27.0,United States,North America,3321.0,1395.0,36703.0,6086.0
The University of Tokyo,28.0,Japan,Asia,4514.0,254.0,27279.0,2639.0
Northwestern University,29.0,United States,North America,4231.0,1141.0,18675.0,3422.0
The Hong Kong University of Science and Technology,30.0,Hong Kong,Asia,1150.0,835.0,10375.0,2921.0
University of Toronto,31.0,Canada,North America,9581.0,3905.0,72207.0,21910.0
McGill University,32.0,Canada,North America,3646.0,1220.0,28837.0,9540.0
"University of California, Los Angeles (UCLA)",33.0,United States,North America,2859.0,662.0,40114.0,6887.0
